Minister,Month,Org,Purpose,Year
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",April,IPSA,Bilateral,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",June,IPSA,Bilateral,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Leader of the House of Lords, Lord Hill of Oareford CBE",May,Financial Times,General discussion,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Leader of the House of Lords, Lord Hill of Oareford CBE",June,BBC,General discussion,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Leader of the House of Lords, Lord Hill of Oareford CBE",June,REFORM,General discussion,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Parliamentary Secretary to the Treasury and Chief Whip, The Rt Hon Sir George Young MP",June,BBC - Nick Robinson,Lunch,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Vice-Chamberlain of HM Household, Rt Hon Greg Knight MP",June,RAC,Dinner,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Lords Commissioner of HM Treasury, Rt Hon Desmond Swayne TD MP",June,IPSOS Mori,Public Affairs questionnaire,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Assistant Whip, Nicky Morgan MP",June,Google,Briefing on Google activity on protecting children from online pornography; tax issues and cyber security,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard, Lord Newby OBE",April,The Lafz Project,Event on religious freedom and human rights in Pakistan,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Baroness Garden of Frognal",May,European Council on Foreign Relations,Discussion on European security policy/strategy,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Baroness Garden of Frognal",May,Cross Deck,Discussion of the work of the organisation and its help in the transition from military to civilian life ,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Baroness Northover",June,The Orchid Project,To discuss issues around female genital mutilation,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Baroness Northover",June,Malaria No More,Meeting with their advisor to the United Nations to discuss efforts to tackle malaria,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Lord Popat of Harrow",June,National Council of British Indians,Discussion of the role of British Indians in public life,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Baroness Stowell of Beeston",May,Women Like Us,Broad discussion of 'women policy',2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Baroness Stowell of Beeston",May,Stonewall,Discussion around Marriage (Same Sex Couples) Bill,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Baroness Stowell of Beeston",June,Church of England,Discussion around Marriage (Same Sex Couples) Bill,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Lord Wallace of Saltaire",April,Centre for Turkey Studies,Discussion of foreign policy issues relating to Turkey,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Lord Wallace of Saltaire",April,Chatham House Defence Group,Discussion of defence-related issues,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Lord Wallace of Saltaire",May,London School of Economics,Discussion around WW1 commemoration,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Government Whip (Lords), Lord Wallace of Saltaire",June,Institute of Government,Discussion on Civil Service Reform,2013,./ministerial-data-cabinet-office/data/bmmeetingsaprjun2013.csv
"Leader of the House of Commons, Lord Privy Seal, The Rt Hon George Young MP",Apr/Jun,IPSA,Bilaterals,2012,./ministerial-data-cabinet-office/data/bmmeetingsaprjune2012.csv
"Leader of the House of Lords, Lord Strathclyde",April,"Visit by South Korean Presidential Candidate, Dr Sohn Hak-Kyu",Part of a visit organised by the FCO,2012,./ministerial-data-cabinet-office/data/bmmeetingsaprjune2012.csv
