Minister
Leader of the House of Commons, Lord Privy Seal, The Rt Hon Andrew Lansley MP
Parliamentary Secretary, Deputy Leader of the House of Commons The Rt Hon Tom Brake MP
Leader of the House of Lords, Lord Hill of Oareford
Parliamentary Secretary to the Treasury and Chief Whip, The Rt Hon Sir George Young MP
Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard, Lord Newby OBE
Lords Government Whip, Lady Garden of Frognal
Lords Government Whip, Lady Garden of Frognal
Lords Government Whip, Lady Garden of Frognal
Lords Government Whip, Lady Garden of Frognal
Lords Government Whip, Lady Northover
Lords Government Whip, Lady Northover
Lords Government Whip, Lady Northover
Lords Government Whip, Lady Northover
Lords Government Whip, Lord Popat
Lords Government Whip, Lord Wallace of Saltaire
