Minister,Date,Name of Organisation,Purpose of meeting²
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-14,Big Society Capital ,Introductory Meeting
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-14,MSB Consultancy ,Friends and Family policy
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-14,National Association of non-maintained and independent Special Schools ,"Introduction to NASS, Commissioning and Procuring of SEN provision, and Commissioning Academy"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-14,Boston Consulting Group ,Public Sector Reform
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-14,"Mobile Network Operators:BT, EE, Telefonica, Three, Vodafone",Delivery of emergency services future mobile communications
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-14,Fredericks Foundation ,Public Sector Reform
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-14,"Public Services Forum: CBI, Business Services Association, PCS, The NHS Confederation, National Council for Voluntary Organisations, Prospect, UNISON, GMB, FA, TUC, OSD","Public sector mutuals and co-ops,  Government Digital Services - Digital by Default, Implications of the Francis report (Mid Staffs) for all public services"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-14,Local Government Association ,Public Sector Reform
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-14,Telereal Trillium,Supplier meeting
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-14,Prospect ,Facility time
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-14,Shell,Public Service Reform
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-14,Google,Misleading websites
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-14,UK Broadband ,Emergency Services Mobile Communications Projects
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-14,Copping Joyce Surveyors Limited ,Government property
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-14,"Prospect, FDA and Unison ",Industrial relations
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-14,OpenPlanet Limited ,Public Sector Reform
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-14,SERCO,Procurement
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-14,Time Partners Limited ,Big Lottery
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-14,Dr Bruce Perry-Graham,Early Intervention 
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-14,IPPR,Civil Service reform
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,Alex Tompson ,Local Government Policy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan,Charles Goodson-Wickes,Army Reserves
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,Representatives from the Automotive Industry,To discuss the ultra low emission industry.
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,General Electric,Energy Policy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan,British Standards Institute and the UK Accreditation Service,Policy discussion
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,Police and Crime Commissioners for Dorset and Wiltshire,Policy discussion
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,Compassion in World Farming,Animal welfare policy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,Professor Peter Nolan,China
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,Open University,Higher Education Policy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,British Psychological Society,Mental Health
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,PWC,Energy Policy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan,GLA,Aviation policy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,AstraZeneca,Anti-microbial resistance
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan ,Local Government Ombudsman,Policy discussion
