Minister,Date,Name of Organisation,Purpose of meeting
"Prime Minister, The Rt Hon David Cameron MP",January,Crest Nicholson,To discuss UK housing market
,January,"ITV: Geoff Hill, Michael Jeremy, Tom Bradby",General discussion
,January,The Observer,General discussion
,January,"Sir V S and Lady Naipaul, Geordie Greig (Mail on Sunday) ",General discussion
,January,Jewish Leadership Council,Discussion on Jewish community issues
,January,IGas,To discuss energy policy
,January,"Alliance Trust, Babcock Marine, DC Thomson & Co, Entrepreneurial Exchange, Sir Tom Hunter, Expro, Gleneagles Hotel Group, Hebridean Sea Salt, Macsweens of Edinburgh, Malcolm Group, Miller Homes, M Computers Technologies, MJM International, Think Tank Mathias, Wood Group",To discuss issues affecting Scottish businesses
,January,Crossrail ,Progress update
,January,"Orbis Energy, New Anglia Local Enterprise Partnership, Associated British Ports, Hoseasons, SLP Sembmarine, Enterprise Lowestoft, Lovewell Blake Accountants",Discussion on transport investment
,January,"Nick Robinson, BBC ",General discussion
,January,"Daily Mail, The Guardian, ITV News, Paul Waugh (Politics Home) ",General discussion
,January,"Wanda, Wellcome Trust, Canada Pension Plan, China Investment Corp, Brightstar, ICBC, 3M, Statkraft, Tata, Liberty Global, Siemens AG ",To discuss inward investment
,January,CBI ,To discuss business in Europe
,February,"David Dinsmore, The Sun",General discussion
,February,"Business Advisory Group: Tech City, Burberry, Centrica, Tesco, Vodafone, CBI, Dyson, Airbus Group, Alliance Trust, TalkTalk, All3Media, John Lewis, Prudential, GlaxoSmithKline",To discuss the UK economy
,February,"Donald Martin, Sunday Post, Damian Bates, Press & Journal, Richard Prest, Dundee Evening Telegraph, Alan McCabe, Aberdeen Evening Express, Richard Neville, Courier",General discussion
,February,"Saud Arabian Monetary Agency, Fidelity, Canadian Pension Plan Investment Board, Kiat GIC, AXA, Allianz, Blackrock, Swiss Re, Norges Bank, Abu Dhabi Investment Authority",To discuss inward investment opportunities
,February,Flybe,To discuss local transport and economy issues
,February,"John Witherow, The Times",General discussion
,February,St Davids Assemblies,Discussion of the companies’ business model and workforce
,February,Trussell Trust ,To discuss the work of the Trussell Trust
,February,BBC,General discussion
,February,Shell,To discuss energy policy
,February,"The Sun, The Times, Sunday Telegraph, James Landale, BBC",General discussion
,February,"Mitsui & Co Europe, Mitsubishi Corporation Europe & Africa Headquarters, Bank of Tokyo-Mitsubishi UFJ, NYK Group Europe, Honda Motor Europe, Nissan International, Toyota Motor Europe, Hitachi Europe,  Toshiba of Europe, Mitsubishi Heavy Industries Europe, Eisai Europe, Marubeni Europe, Sojitzu Europe, Sumitomo Cooperation Europe, Mizuho Corporate Bank, Sumitomo Mitsui Banking Cooperation, Nomura International Europe, Daiwa Capital Markets Europe",Japanese Inward Investment
,March,Tony Blair,To discuss Middle East Peace Process
,March,Lloyds Banking Group,To discuss Scottish Widows business and Lloyds Banking Group’s priorities
,March,Richard Curtis,To discuss international development
,March,CBI,To discuss business in Europe
,March,Siemens ,Discussion on manufacture of offshore turbines in Hull
,March,ABP,Discussion on ABP ports network and plans for development of port in Hull
,March,Foundation for Peace,To discuss the work of the Foundation for Peace
,March,"Daily Telegraph: Jason Seiken, Chris Evans",General discussion
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
