Minister,Date,Name of Organisation,Purpose of meeting
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",July,IPSA,Regular update phone call
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,NCVO,Regulation of non-party campaigning
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,IPSA,Meeting with the Board
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,NCVO,"Discussion about Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,Electoral Commission,"Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,ACEVO,"Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,"ACVO, NCVO, Representative of the Gibraltar Government","Part 1 and Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",July,"Lobbying industry and transparency groups roundtable: APPC, PRCA, CIPR, UKPAC, CAFOD, NCVO, CBI, SpinWatch, Unlock Democracy","Discussion of the definition of a consultant lobbyist; reporting ministerial meetings and the proposed register in Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,NCVO,Regulation of non-party campaigning
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,UKPAC,Regulation of Lobbying
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Oxfam,Oxfam's campaigns on food and climate change and tax transparency and transparency bill
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Guide Dogs; Prostate Cancer UK; Campaign for Better Transport,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Fairtrade Foundation,Transparency Bill and Fairtrade Foundation's strategy
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Action for Hearing Loss; ACEVO; Countryside Alliance; Royal British Legion,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,RES,Energy Bill
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,4Children,Transparency Bill and childcare issues
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,British Heart Foundation; Guide; Board of Deputies of British Jews,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,L+Q,House building and Tranparency Bill
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,MIND,Transparency Bill and mental health issues
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Optical Confederation,Transparency Bill and eye care
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,CSPL,Seminar on lobbying
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Christian Aid and CAFOD,"Charities and regulation of non-party campaigning in Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Hope not Hate,Regulation of non-party campaigning
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,ACEVO,"Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill"
"Leader of the House of Lords, Lord Hill of Oareford CBE",July,The Daily Telegraph,General discussion
"Government Whip (Lords), Lord Ahmad of Wimbledon",July,London South Bank University,Introduction to the work of the university and it's plans for the future 
"Government Whip (Lords), Lord Ahmad of Wimbledon",July,Head of Bahais in the UK,Discussion of persecution in Iran
"Government Whip (Lords), Lord Ahmad of Wimbledon",September,British-Turkey Chamber of Commerce,Introductory discussion
"Government Whip (Lords), Baroness Garden of Frognal",July,Federation for Industry Sector Skills and Standards,Discussion of apprenticeships
"Government Whip (Lords), Baroness Garden of Frognal",July,Communication Trust,Discussion of the early identification of poor communication in children
"Government Whip (Lords), Lord Newby",July,Cooperative Group,Discussed the future of the Co-op bank
"Government Whip (Lords), Lord Newby",July,HSBC Bank,Discussion on recent developments at the bank and the economy
"Government Whip (Lords), Lord Newby",July,Vocalink,Discussion on the efforts of the Banking Reform Bill
"Government Whip (Lords), Lord Newby",September,CUNA,Discussion of financial aspects of the housing market
"Government Whip (Lords), Lord Newby",September,Start Up Europe,Discussion on the digital economy
"Government Whip (Lords), Lord Popat of Harrow",July,City Hindus Network,Discussion of the work of the Hindu Forum of Britain
"Government Whip (Lords), Baroness Stowell of Beeston",July,Platform 51,Discussion on young women's issues
"Government Whip (Lords), Lord Wallace of Saltaire",July,INCommunities,Discussion of expansion of apprenticeships in Bradford
"Government Whip (Lords), Lord Wallace of Saltaire",September,Slovak Atlantic Commission,Discussion of UK-Slovakian relations
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
