Minister,Date,Name of Organisation,Purpose of meeting
"Leader of the House of Commons, Lord Privy Seal, The Rt Hon George Young MP",Jul-2011,ITV,To discuss ITV corporate issues
"Commons Government Whip, The Rt Hon Mark Francois, Vice-Chamberlain of HM Household",Sep-2011,London Reserve forces ,To discuss servicing cadet forces in schools 
"Commons Government Whip,  Philip Dunne MP",Sep-2011,Federation of Small Business,Review their proposals to reduce Regulation burden on business
"Commons Government Whip,  Philip Dunne MP",Sep-2011,Retail Motor Industry Association,Meeting to discuss business rates at petrol stations
"Earl Attlee, Government Whip (Lords)",Jul-2011,"GLA, LGA, ICE",Localism Bill
"Earl Attlee, Government Whip (Lords)",Sep-2011,Gatwick Airport ,Gatwick investment programme
"Baroness Garden of Frognal, Government Whip (Lords)",Jul-2011,British Horseracing Authority,General discussion
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
