Minister,Date,Name of Organisation,Purpose of meeting
,,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-2010,Arcadia,Philip Green review
,Oct-2010,PCS,Civil Service Compensation Scheme
,Oct-2010,Tereal Trillium,Contract Renegotiation
,Oct-2010,CEO British Land,Property Strategy
,Oct-2010,Airwave,Contract Renegotiation
,Nov-2010,London First,Big Society
,Nov-2010,Atos Origin,Contract Renegotiation
,Nov-2010,Public Service Company,Public Service Reform
,Nov-2010,YouGov,Introductory Meeting
,Nov-2010,Work Foundation,Employee Ownership
,Nov-2010,Andrew Sutcliffe,Introductory meeting
,Nov-2010,RMAI,Public Service Reform
,Dec-2010,John Lewis,Employee Ownership
,Dec-2010,Fujitsu,Contract Renegotiation
,Dec-2010,TCS Tata,Contract Renegotiation
,Dec-2010,PricewaterhouseCoopers,Contract Renegotiation
,Dec-2010,CEO Semantric,Open Data
,Dec-2010,"British Banking Association, Co-op financial Sevices",Discuss Big Society Bank
,Dec-2010,"Sir Ronald Cohen, Anthony Salz and David Hutchinson",Discuss Big Society Bank
,Dec-2010,TUC,Discuss PMs meeting with TUC
,Dec-2010,TUC,Trade union Meeting
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-2010,Royal Society ,Science and technology
,Oct-2010,"Country, Land and Business Association",Renewable heat
,Oct-2010, Bernard Gray ,Defence procurement 
,Oct-2010,Sharp Solar,Solar PV
,Oct-2010,Stanford University ,Drug and alcohol treatment
,Oct-2010,Friends of the Earth,Green Investment Bank
,,Greenpeace UK ,
,,WWF ,
,,RSPB,
,,E3G,
,,Green Alliance ,
,Oct-2010,British Banking Association,Banking
,Oct-2010,Morston Assets ,Sustainable development
,Oct-2010,Mayor of London’s Office,Policy development
,Oct-2010,Ben Gummer MP and Iceni Project,Drug and alcohol treatment
,Oct-2010,Oxford University,Energy and electricity
,Nov-2010,Lambert Energy,Energy
,Nov-2010,Professor Dame Carol Black ,"Health, employment and benefits"
,Nov-2010,BUAV campaign group,Animal cruelty
,Nov-2010,NALC,Local government
,Nov-2010,2Degrees,Sustainability
,Nov-2010,Centre for Social Justice,Growth
,,Work Foundation,
,,ResPublica,
,,Adam Smith Institute,
,,Institute for Fiscal Studies,
,,CIVITAS,
,,Reform,
,,Centre for Cities,
,,Centre for Policy Studies,
,,Politeia,
,,Institute for Economic Affairs,
,,Social Market Foundation CentreForum,
,,CentreForum,
,,Policy Exchange,
,,IPPR,
,,New Economics Foundation,
,,Localis,
,,Young Foundation ,
,,Demos,
,Nov-2010,Glasgow University,Drug and alcohol treatment
,Nov-2010,CDU/CSU Bundestag Group,"EU, defence and foreign policy"
,Nov-2010,Irwin Stelzer ,Economy
,Nov-2010,Turning Point,Drug and alcohol treatment
,Dec-2010,Ernst and Young,Healthcare
,Dec-2010,Iberdrola,Carbon Capture and Storage
,,Shell UK Ltd,
,,National Grid,
,Dec-2010,Corsair Capital,Women on Boards
,Dec-2010,Velcourt,Sustainable development
,Dec-2010,Renewable UK,Renewable energy
,Dec-2010,Peninsula College of Medicine and Dentistry,Science
,,University of Exeter,
,,UCL,
,Dec-2010,TUC,Public services
,Dec-2010,Reddington,Affordable housing
,Dec-2010,Serco Group plc,Public services
,Dec-2010,TUC Executive Committee delegation,Public services
,Dec-2010,Sympatico,Pensioners’ abroad
,Dec-2010,Lazards,Economy
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Mark Harper MP",Nov-2010,Electoral Reform Society,House of Lords Reform
,Nov-2010,Electoral Commission ,General Meeting 
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-2010,Co-operatives UK,Introductory Meeting
,Oct-2010,Making Every Adult Matter,Introductory Meeting
,Oct-2010,Fairbridge,To discuss Commissioning
,Oct-2010,Hertfordshire Community Foundation,Big Society Agenda
,Oct-2010,Rockcorps,To discuss youth volunteering
,Oct-2010,Social Finance,Big Society Agenda
,Oct-2010,Woodland Trust,Introductory Meeting
,Oct-2010,Directory of Social Change,Big Society Agenda
,Oct-2010,"Community Foundation Network, Hazelhurst Trust and the Surrey Community Foundation, Bill and Melinda Gates Dewan Foundation, Institute for Philanthropy, Institute for Family Business (UK), Philanthropy UK, Durbin Plc., Localgiving.com",Roundtable Discussion
,Oct-2010,Cass Business School,Big Society Agenda
,Oct-2010,Triodos,Big Society Agenda
,Oct-2010,Media Trust,Big Society Agenda
,Nov-2010,Business in the Community,Big Society Agenda
,Nov-2010,Action for Children,Introductory Meeting
,Nov-2010,NCVO,Big Society Agenda
,Nov-2010,Compact Voice,The Compact
,Nov-2010,Start Here,Introductory Meeting
,Nov-2010,FSI,Big Society Agenda
,Nov-2010,Women’s Resource Conference,Commissioning
,Nov-2010,Barclays,Big Society Agenda
,Nov-2010,Asda,BITC
,Nov-2010,Slivers of Time,Volunteering
,Nov-2010,Changemakers,Big Society Agenda
,Nov-2010,NCVO,Big Society Agenda
,Nov-2010,V,Volunteering
,Nov-2010,Voluntary Services USA,Volunteering
,Dec-2010,Social Investment Roundtable:,Social Investment
,,Esmee Fairbairn Foundation,
,,Truestone,
,,Barclays Capital,
,,Clearly So,
,,CAF,
,,Charity desk space,
,,CFS,
,,Triodos,
,,Bridges Venture,
,,JP Morgan,
,,Unity,
,,PEF Trustee,
,,PEF Policy and Comms,
,,Big issue Invest,
,,Social Finance,
,,Shine,
,Dec-2010,Giving of time and Money roundtable:,Giving
,,Founder of RockCorps,
,,Founder of localgiving.com,
,,Mission Fish,
,,GlobalGiving,
,,SPICE – a timebanking scheme in Wales,
,,Slivers of Time,
,,Community Links,
,,Big Society Network,
,,Corporate Social Responsibility at KPMG,
,,BT,
,,Volunteering England,
,,Philanthropist and entrepreneur,
,,The Pennies Foundation,
,,Deutsche Bank,
,,New Philanthropy Capital,
,,Outset Contemporary Art Fund,
,,Timebanking UK,
,,Youthnet,
,,Private Equity Foundation,
,,The Funding Network,
,,Marie Curie,
,,Community Foundation Network,
,,Bridges Venture,
,,Barclays Wealth,
,Dec-2010,Participle,Big Society Agenda
,Dec-2010,School for Social Entrepreneurs,Big Society Agenda
,Dec-2010,Gamcare,Big Society Agenda
,Dec-2010,Institute for Fundraising,Big Society Agenda
,Dec-2010,Rockcorps,National Citizen Service
,Dec-2010,Youth Sport Trust,Big Society Agenda
