Minister,Date,Name of Organisation,Purpose of meeting
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April,BAIN Consultancy,Public Service Reform
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April,"O2, EE, Three and Vodafone",Civil contingencies policy
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April,SERCO,Delivery Trajectories on National Citizen Service
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May,PWC ,Payment proposals
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May,Soluto,Digital
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May,Elbit Systems  ,Cyber
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May,"UK Israel Tech Hub, Hybrid Security, Seculert, WCK, Yuval Ne'eman Workshop for Science, Technology and Security.",Cyber/Digital/IT
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May,Hebron Chamber of Commerce (West Bank) ,Discuss ERG
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May,Palestinian Businessmen,OGP/ERG/IT
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June,McKinsey,Public sector reform discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June,ICAEW's,Financial Management in Government
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June,IDA Privacy & Consumer Advisory Group,Discussion on identity assurance principles
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,The Independent,General Discussion
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Housing for Women,Housing Policy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Professor Dieter Helm,Government Policy on the environment
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,"Tesco,B&Q,Upside (UPS),Volvo,Gasrec",Bio-LNG for HGV’s and Creating new green jobs
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Which?,Open Public Services
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Financial Times,General Discussion
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Clore Social Leadership Programme,"Leadership and skills in the voluntary, community and social enterprise sector"
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,University of Leeds,Foreign Affairs
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Cranfield University,Foreign Affairs
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Early Intervention Foundation,Early Intervention
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Association of British Insurers,Flood Insurance
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,"Involve, Employment Lawyers Association,MOSAIC,helpful technology,Talk Talk,National Council for Voluntary Organisations,National Audit Office,Professor Albert Weale, University College London The Democratic Society (Demsoc),Federation of Small Businesses,BAE systems",Independent Review of Government Consultation Principles
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,NHS England,National Health Service
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Huawei Technologies UK ,Inward investment
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April,Association of British Insurers,Flood Insurance
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,Business Growth Fund,Business Growth Fund
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,Parliamentary and Health Service Ombudsman,To discuss  Ombudsmen issues
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,Demos,Stakeholder Management
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,G P Hinduja,British-India Relations
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,Social Market Foundation,Community Budgets
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,London School of Economics,Mental health in the Spending Round
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,Bow Group,Risk Culture
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,"Science Museum Group,National Grid",Exhibition on Engineering Careers
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,National Grid,Capacity Mechanism
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,"Think Three Ltd,PRP Architects LLP,City of London",DCLG planning regulations
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Ontario Teachers’ Pension Plan,Infrastructure investing
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,University of Cambridge,Chinese development
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,TaxPayer’s Alliance,Tax Reform Policy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Network Rail,Infrastructure
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Association of British Insurers,Flood Insurance
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Business Growth Fund,Business Growth Fund
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,International Consortium of British Pensioners,Frozen Pensions
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Association of British Insurers,Flood Insurance
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Huawei Technologies UK,Chinese investment
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Humanitarian Aid Relief Trust,Enhancing Britain’s reputation in Sudan
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,E.ON UK,Smart Meters
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,BACTA,Gambling Industry
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Mahindra and Mahindra,Inward investment
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Mahindra and Mahindra and Mayor of London,Inward investment
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,"Mahindra and Mahindra,London Higher,LSE,Imperial College,Oxford University Oxford University,SOAS,King’s College,Kingston College",Inward investment
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June,Indian Angel Investment Network,Inward investment
"Minister of State, The Rt Hon David Laws MP",June,United Learning Trust,General discussion
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,NESTA,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,StartHere,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Impetus Trust,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Samaritans,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,"Conference with: Action Planning, Calouste Gulbenkian Foundation, Big Lottery Fund, The BigGive, London Benchmarking Group, Social Stock Exchange Ltd, Big Society Capital, Sigrid Rausing Trust, Willow Foundation, Alzheimers UK, Age UK Enterprises, Action for Children, BBC Children In Need, Barnados, Asphaleia, Haven House Childrens Hospice, Toybox.",Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Changemakers,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,NCS,NCS
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,National Housing Federation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Evening Standard,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Pennies Foundation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Participle,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Bloomberg Philanthropies,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Football League Trust,NCS
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Large Charities ,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Macmillan,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,British Heart Foundation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,RNIB,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Age UK,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,NSPCC,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,New Philanthropy Capital,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Big Society Capital,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Scope,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Investing for Good,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,St Mungo’s,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Boston Consulting Group,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,The Independent,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Big Issue Invest,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,BIG ,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Big Society Capital,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Serco,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Guardian,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Total Politics,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Join In Trust,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,MOPAC,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,New College Nottingham ,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",April,Surrey Community Foundation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,ASDA,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,RSA,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Charityworks,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Third Sector,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Petroc,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Manchester United Foundation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,UnLtd,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,EBP,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Streetsmart,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,FT,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Vinspired,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Small Charitable Trusts & Foundations,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Northern Rock Foundation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,SkillsBridge,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Action for Children,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Join In,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Compact Voice,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Institute for Government,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Trading for Good,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",May,Tyze,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",June,NCS Independent Management Body,NCS
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",June,"Roundtable with: Local Giving, Community Foundations, Hallet, CCLA, Just Giving Local, BiTC, Green Lane Capital",Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",June,Big Society Capital,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",June,Sainsbury’s,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",June,Bloomberg ,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",June,House Magazine,Big Society Policy
