Minister,Date,Name of Organisation,Purpose of meeting,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,CBI,Introductory ,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Public Sector Employers,Regular Forum,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Trades Unions,Pensions Discussion Meetings,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Royal National Orthopaedic Hospital,Mutual structures ,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Citi Group,General Discussion ,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Akabusi Company and Action for Children,Big Society ,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,The Engine Group,Big Society,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Wipro ,Introductory,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,John Laing plc,PFI ,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Marie Curie Cancer ,Philanthropy,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Trades Unions,Pensions Discussion Meetings,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Tata Consulting Services ,Introductory ,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Corven ,Mutuals,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Co-op ,Employee Ownership,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Serco ,Supplier Management ,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,HSBC ,Big Society Bank,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,RBS ,Big Society Bank,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,EFP Capital ,Procurement,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,National Federation of Sub Post Masters ,General discussion,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,Trades Unions,Pensions Discussion Meetings ,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,"UKSA, ONS, Experian, Barclays, John Lewis, RSS, Perception BI, ESRC, LGA",Census,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,National Association of Head Teachers,Introductory ,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,International Consortium of British Pensioners,Overseas Pensions,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,"Royal Society for the Protection of Birds, Campaign for Protection of Rural England, Plant Life, Wildlife and Countryside Link, Wildlife Trust",Natural Environment White Paper,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Shell,Gas and Energy,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Forum for the Future,Forests,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Royal Society for the Protection of Birds,Planning,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Centre for Policy Studies,General Catch-up,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Shell,Follow-up Gas and Energy meeting,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Mary Ward Legal Centre,Legal Aid Reform,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Trades Union Congress,Public Service modernisation,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Communication Workers Union,Royal Mail,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Scottish and Southern Energy,Energy,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Trades Union Congress,Public Service modernisation,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Law Centres Federation,Legal Aid Reform,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,CBI,Energy & Red Tape Challenge,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Reform,Public Service modernisation,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Peter Bareau & Simon Hall,NHS Reforms,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,South West Water,Water,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Full Time Mothers,Income Splitting,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,BP,Engineering,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Poyry,Energy,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Lloyds Banking Group,Banking,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,National Farmers Union,Planning,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Trades Union Congress,Public Service modernisation,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Charterhouse Capital Partners Ltd,Bio-products,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Bishop Nazir-Ali,General discussion,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Iberdrola,Energy,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Poyry,Energy,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Sancroft International Limited,Environment,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Iberdrola,Energy,,
