Minister,Date,Name of Organisation,Purpose of meeting
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Apr-12,Telefonica,To discuss Think Big Blueprint
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Apr-12,Amazon,Cyber security
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May-12,Skype,ERG and Cyber security agenda
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May-12,Startup Wiseguys Business Accelerator,ERG agenda
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May-12,Young Devon,NCS
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May-12,Catch 22,NCS
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May-12,Emerging Market Sales force,Cyber Security
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May-12,McKinsey,Efficiency and Reform Agenda
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May-12,Apple,Cyber Security
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May-12,NAO,Efficiency and Reform Agenda
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jun-12,Omidyar Network,The Big Society Agenda
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jun-12,FDA,Civil Service Reform
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Apr-12,BBC,BBC
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Apr-12,Cheshire West and Chester Council,Open Public Services
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Apr-12,Matt D’Ancona,General Discussion
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Apr-12,Queen’s Park Community Council,Community Councils
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Apr-12,Trades Union Congress,Employment Rights
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Apr-12,Orbis Insurance,Armed Forces Covenant
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Apr-12,WHEB Partners and Engensa,Energy
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Apr-12,Overseas Pensioners Association,Overseas Pensions
