Minister,Date,Name of Organisation,Purpose of meeting,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-12,PCS,Civil Service Pensions,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-12,The Leadership Trust Foundation,General Discussion,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-12,Council for Science and Technology,Procurement and Innovation,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-12,EMAG,Procurement and Equality,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-12,Groundwork UK,General Discussion,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-12,Xchanging,SME’s,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-12,Hammersmith and Fulham Council,Social Finance,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-12,Permira Advisers LLP,Social Business,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-12,Trades Unions,Policy Discussion,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-12,Mace,General Discussion,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-12,Cap Gemini,General Discussion,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-12,Oracle ,Procurement,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-12,Public Services Forum,Regular meeting,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-12,Hewlett Packard,Cyber Security,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-12,Standard Life,Procurement,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-12,Go On UK,Cyber Security,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-12,Trades Unions,Policy Discussion,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-12,Energy Saving Trust,Energy Saving,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-12,Circle Partnership ,Mutuals,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,BT,Broadband ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,Economist,General Discussion,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,Institute for Government,General Discussion,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,Environmental Industries Commission; Transport Pollution Policy Group; Eminox,Low emissions,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,BAE ,Defence discussion,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,Dieter Helm/Oxford University,Electricity Market Reform ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,IPPR,Child Poverty ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,The Independent, General Discussion,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,Veolia Environment Services,Red Tape Challenge,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,Exxonmobil,Regulation,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,Peninsular College of Medicine; University College London,Policy development,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Jan-12,Equity Solutions,University Technical Colleges,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Feb-12,New Schools Network,Free Schools,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Feb-12,National Grid,Electricity Market Reform,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Feb-12,Oxford University,Infrastructure,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Feb-12,Co-operatives UK,Co-operatives,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Feb-12,3M,Growth ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Feb-12,Tomorrows People,Apprenticeships,
