Minister,Date,Name of Organisation,Purpose of meeting,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,Professor Kakabadse,Civil Service Reform ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,Karnataka ICT Group 2020,IT Reform ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,Dr Anthony Seldon,Civil Service Reform,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,Institute for Government ,Civil Service Reform,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,British Council,Relationship with British Council,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July   ,Hadley Trust ( Phil Hulme),Introductory meeting ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,"Emergency Planning College, SERCO",Interoperability ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,"Conservative Home, Paul Goodman",Civil Service Reform and Efficiency,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",August ,National Trade Union Council, Redundancy Consultation protocols,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",August   ,Institute for Government,Accountability ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",August,Wall Street Journal,Government digital strategy ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September  ,FDA,Trade Union relations,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September    ,OIX & GSMA & mobile operators,Identity assurance programme,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Liberty,Data Sharing,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Financial Times,Civil Service Reform and Efficiency,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Conservatives Home,Civil Service Reform and Efficiency,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Civil Service World,Civil Service Reform ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,IPPR,Civil Service Reform ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Rolta ,IT Reform,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Infosys,IT Reform ,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,BBC,Civil Service Reform,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Spectator,Civil Service Reform ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,NC3Rs,NC3Rs work on animal testing,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,The UK India Business Council ,Indian Investment opportunities for the UK,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,The UK Cards Association ,Opportunities to increase use of overseas payment cards in the UK.,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Aegis ,Amnesty Report on South Kordofan and London demonstration,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Ben Goldacre ,Clinical trial transparency,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Attendees came from a number of regulators,No.10 Roundtable on consumer focused regulators,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,"University of York, Plymouth University, University of Essex, Transform UK",Marine Conservation Zones ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Advisers to German Government ,Behavioural Insights discussion ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,F1 in Schools,F1 in Schools Partnership Launch ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Professor Peter Nolan and the Chinese Leadership Programme,Roundtable ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Paul Evans & Edric Ackland-Snow,Angel investment in the UK,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Centrica,Smart Meters ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Defence National Rehabilitation Centre (DNRC),Defence National Rehabilitation Centre ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Rothschild,Transport policy ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,BT,Broadband,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,"Indian Angel Investor Network, UCL, Imperial College London, Silicon Valley Bank",Introducing international angel investors to the UK innovation ecosystem,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,SharedLivesPlus,Homeshare initiative ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,330 Limited,Providing training and employment to offenders ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Emmaus,Discussion with homeless charities,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July ,Big Society Capital & Indian Angel Investor Network,Social Investment,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Federation of Small Businesses,Zero-carbon homes policy ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",August,Zero-M,Biofuel,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",August,Professor Peter Nolan,China and economic development,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",August,Faith Matters ,Community cohesion initiatives,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",August,Friends of the Earth,Climate change,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,"Network Rail, ROSCOS Franchise Owners",Rail mobile communications.,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,Huawei,UK investment opportunities,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,BT,Enterprise Zones ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,The Wildlife Trust,Update ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,"Ian Taylor, Tim Readman and Doug McWilliams",Infrastructure investment,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,Professor Peter Nolan,China and economic development,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,Queen Elizabeth Prize for Engineering,Queen Elizabeth Prize for Engineering ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,The Carbon Trust,Update ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,The British Union for the Abolition of Vivisection (BUAV),Update on work on animal testing ,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",September,"Indian Angel Investor Network, Cisco, Vodafone, JCB",Introducing international angel investors to the UK angel ecosystem,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,UK Community Foundations,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Esmee Fairbairn / BIG,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,DISC,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,National Scrutiny Group,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,St Giles Trust,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Plymouth Brethren,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Richmond Group,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,3SC,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Big Society Capital,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Join In,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Big Lottery Fund,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,British Heart Foundation,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Association of Charitable Foundations,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Scouts Association,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,National Grid,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,NAVCA,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,"Large charities: Macmillan, St John Ambulance, RNLI, Age UK, NCVO, Open Data Institute, ",Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Locality,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,NCS,NCS,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Cornish Social Enterprise Leaders,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Jul,Alzheimer’s Society,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Aug,Wiltshire Council,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Big Lottery Fund,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,OnSide,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Wates Group,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Centre for Social Justice,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Alzheimer's Society,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Resurgo,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Emmaus,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,BiTC,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,BT,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,JEWISH LADS' & GIRLS' BRIGADE,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Crime Reduction Initiatives,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,IVO,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,"Roundtable: NCVO, ACEVO, Clinks",Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Reclaim Fund Ltd,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,WWF-UK,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,British Canal and Rivers Trust,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,NCS Gateway,NCS,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Join in,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Big Issue Invest,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Threadneedle,Big Society Policy,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Sep,Manchester Youth Council,Big Society Policy,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",July,"Prospect Magazine, Security Lancaster, BT Security, Shell Trading, Instituteof Engineering and Technology, British Bankers Association, Dentons LLP",The role of the private sector in delivering the cyber security strategy.,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",July,Hansard Society,Youth engagement in the democractic process,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",July ,Transformation Trust,Youth engagement in the democractic process,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",July,Electoral Commission,Electoral Policy,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",July,Electoral Reform Society,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",July,Hope Not Hate,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",July,"Association of Professional Political Consultants (APPC), Public Relations Consultants Association (PRCA), Chartered Institute of Public Relations (CIPR), UKPAC, CAFOD, National Council of Voluntary Organisations (NCVO), Confederation of British Industry (CBI)","Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",July,"SpinWatch, Unlock Democracy","Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",August,CITB,Construction,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,National Council of Voluntary Organisations (NCVO),"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
