Minister,Date,Name of Organisation,Purpose of meeting
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,IPPR,Civil service accountability
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,Babcock,Government Procurement
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,Odgers Berndtson,Recruitment
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,CBI,Civil service accountability
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,TUC,Pay and Pensions
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,"Tony Gallagher, The Telegraph",General discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,"Gary Gibbon, Channel 4",General discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,"John Witherow, Sunday Times",General discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,"Nick Robinson, BBC",General discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-12,CBI,Policy discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Nov-12,Odgers Berndtson,Recruitment
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-12,Babcock,Government procurement
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-12,IPPR,Civil Service accountability
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-12,"Nesta, ACEVO, NCVO, SEUK, NAVCA, Social Firms UK, Small charities coalition, CLINKS, Children England, CFG, NHF, Community Matters, Shaw Trust, Groundwork,TCV, Tomorrows people, Gingerbread, DWUK, Papworth Trust,Reserve: Amber, Action for Children,Turning point, United Response,Barnados, Age UK, NSPCC, Catch-22, St Giles Trust, SOVA, Action Hearing Loss, Action for Blind people,Mind, Mencap",Big Society Policy
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Green Alliance,Environment Issues
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Local Government Association,Local Government Issues
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Wildlife Trusts,Environment Issues
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Friends of the Earth,Environment Issues
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,"Joey Jones, Sky News",General Discussion
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Ian Birrell,General Discussion
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Bishop Andudu & Christian Aid,Sudan
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Open University,Higher Education
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,"Trinity College, Cambridge",Life Sciences
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,"FT, The Economist ,Prospect, BBC, The Times, The Guardian",Life Sciences
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,"Lord Guy Black, The Telegraph",General Discussion
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Sir Kenneth Warren,General Discussion
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Rothschild,General Discussion
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Rolls Royce,Industrial Policy
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,British Chambers of Commerce,Business Policy
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,"Asda, Associated British Foods, Atos,Babcock International, BAE Systems,Balfour Beatty, Bank of England, Boeing,BP, British Airways, British Bankers' Association, British Chambers of Commerce,BT, Business Services Association,CapGemini, Carillion, CBI, Centrica, Dell, Diageo, EDF Energy, EEF, Finmeccanica UK , FSB, General Dynamics UK, GKN,GlaxoSmithKline, Home Retail Group,HP UK, IBM, J Sainsbury, Jaguar Land Rover, Kingfisher, Lockheed Martin UK,Marks and Spencer, MBDA UK, Raytheon UK, Rolls Royce, Serco, Shell, Statoil,Tata Group, Tesco Plc, Thales,Vodafone Group, WPP Group",Business Policy
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,"The Week, Business Today, Financial Express",British-Indian Relations
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Indian Institute of Technology,British-Indian Relations
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,"National Institute of Public Finance & Policy,Institute of Applied Manpower Research,Centre for the Study of Developing Societies,Observer Research Foundation",British-Indian Relations
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,BP India,British-Indian Relations
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,Aditya Birla Group,British-Indian Relations
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Oct-12,"Rothschild, Goldman Sachs,HSBC,Barclays",British-Indian Relations
