Minister,Date,Name of Organisation,Purpose of meeting
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-11,The Wildlife Trusts,Open Public Services White Paper
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-11,Centric Software,General Discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-11,Trades Unions,Pensions Discussion Meetings
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Oct-11,The Tax Payers Alliance,General Discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Nov-11,Trades Unions,Pensions Discussion Meetings
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Nov-11,Media Trust,General Discussion 
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Nov-11,Intellect ,General Discussion 
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Nov-11,Management Consultancy Association,Government's use of Management Consultancy
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Nov-11,BBC  ,General Discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,FINMECCANICA UK Ltd,Emergency Services Interoperability and Cyber Security.
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,Daily Telegraph  ,General Discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,CWC ,General Discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,Capita,Efficiency and Reform
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,Sir Peter Gershon,Efficiency and Reform 
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,Trades Unions ,Pensions Discussion Meetings
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,Institute of Directors,General Discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,Stepping Out,Mutuals 
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,Capita Group Plc ,General Discussion
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Dec-11,Capgemini Consulting,Independent Review  of UK Digital Champion / Race Online 2012
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,Channel 4,General discussion
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,Turning Point,Homelessness
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,Groundwork UK,Environment
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,Prison Reform Trust,Prisons
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,The Independent,General discussion 
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,British Chambers of Commerce,Business
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,The Independent,General discussion
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,Green Alliance,Environment
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",Oct-11,The Open University ,Higher education
