Minister,Date,Name of Organisation,Purpose of meeting
,,,
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",Oct-2010,Universities UK,Higher Education
,Oct-2010,CBI,Business/economy
,Oct-2010,National Portrait Gallery,Arts
,Oct-2010,Lloyds Banking Group,Business/economy
,Nov-2010,Core Cities,Decentralisation & regional policy
,Nov-2010,British Youth Council,Electoral reform/social mobility
,Nov-2010,Beat Bullying Campaign,Schools & Education
,Nov-2010,Rt Hon Alan Milburn,Social Mobility
,Nov-2010,Fawcett Society,Parliamentary reform
,Nov-2010,World Economic Forum,International Economy
,Nov-2010,Sutton Trust,Social mobility
,Nov-2010,UCU,Higher Education
,Dec-2010,Citizens UK,Child detention
,Dec-2010,"Professor Timothy Garton Ash, St Anthony’s College, Oxford",Europe/international
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
