Minister,Date,Name of External Organisation,Purpose of meeting
,,,
"Deputy Prime Minister, The Rt Hon Nick Clegg MP","May, 2010","Young Foundation, Community Links, Antigone, Big Society Network, Balsall Health Forum, London Citizens, Participle, Talk About Local, CAN Breakthrough, Mayor of Middlesborough, Business in the Community, Esmee Fairbairn, Greener Leith, St Giles Trust, Big Issue Invest, Kids Company",To discuss Big Society
,"June, 2010",Electoral Commission,General discussion
,"June, 2010",Chair of the Political and Constitutional Reform Select Committee,Discussion on Constitutional and Political Reform Agenda 
,"June, 2010",Take Back Parliament,Meeting/receipt of petition
,"June, 2010",World Bank,General discussion
,"June, 2010","The Elders (Mabel van Oranje, Martti Ahtisaari, Kofi Annan and Mary Robinson)",Discussion of international affairs
,"June, 2010",Committee on Standards in Public Life,General discussion
,"June, 2010",Chair of the Political and Constitutional Reform Select Committee,Discussion on Constitutional and Political Reform Agenda 
,"June, 2010",Maternal Mortality Campaign,Presentation of Campaign Objectives
,"June, 2010",Leader of the Canadian Opposition,General discussion
,"June, 2010",Lord Robertson,General discussion
,"July, 2010",NATO,General discussion
,"July, 2010",Metropolitan Police,General discussion
,"July, 2010",Chair of the Political and Constitutional Reform Select Committee,Discussion on Constitutional and Political Reform Agenda 
,"July, 2010",Electoral Commission,General discussion
,"July, 2010",Gates Foundation,Millennium Development Goals
,"July, 2010",British Overseas Aid Group,General discussion
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of devolved or foreign governments.",,,
