Minister,Date,Name of Organisation,Purpose of meeting
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",Jan-13,Hacked Off,General discussion
,Jan-13,"Jon Mullholland, Observer",General discussion
,Jan-13,"Association of Colleges,CBI,Kings College London,National Institute of Economic and Social Research,Ofsted,Princes Trust,School for Startups,The Learning and Skills Improvement Service",Further Education
,Feb-13,"Sarah Sands, Evening Standard",General discussion
,Feb-13,"John Witherow, The Times",General discussion
,Feb-13,The James Caan Foundation,General discussion
,Mar-13,"Alan Rusbridger,Guardian",General discussion
,Mar-13,Justice Across Borders,General discussion
,Mar-13,Richard Branson,General discussion
,Mar-13,"Dominic Mohan, The Sun",General discussion
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
