Minister,Date,Name of Organisation,Purpose of meeting,
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",Jul-12,"Sarah Sands , Evening Standard)",General discussion,
,Jul-12,"Aviva, GSK, IBLF, Kingfisher, Unilever, Vodafone",Roundtable event,
,Jul-12,Sainsburys,General discussion,
,Aug-12,"James Harding, The Times",General discussion,
,Aug-12,"Geordie Greig, Mail on Sunday",General discussion,
,Aug-12,Money Saving Expert,General discussion,
,Sep-12,Marshall Wace LLP,General discussion,
,Sep-12,"Aramark Ltd, Fitness First,Gondola Holdings,Marriott Hotels,Marstons Plc,Merlin Entertainments,Pret a Manger,Q Hotels,Restaurant Group,Stonegate Pub Company,Tragus Group,Travelodge,Wagamama",Roundtable discussion on Youth Unemployment in the Hospitality and Leisure industry,
,Sep-12,"Aldersgate Group,Alstom, Areva Wind,BioGroup, Climate Change Capital,David Brown Gears,E3G,Ecolateral,Renewable Energy Association,Rolls Royce,Siemens plc",Seminar on Building a Low Carbon Economy,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Note,,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,,
