Minister,Date,Name of External Organisation,Purpose of meeting
,,,
"Leader of House of Commons, Lord Privy Seal, The Rt Hon George Young MP",nil return,,
"Parliamentary Secretary, Deputy Leader of the House of Commons, David Heath MP",nil return,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon The Lord Strathclyde","June, 2010",Liberty,General discussion
,"June, 2010",Deutsche  Bank,General discussion
"Parliamentary Secretary to the Treasury and Chief Whip, The Rt Hon Patrick McLoughlin MP","June, 2010",Communications Strategy and Management Limited,General catch up
"Government Whip, The Rt Hon Mark Francois MP","July, 2010",Council for Protection of Rural England,Discussion on policy on housebuilding/planning
,"July, 2010",Community Self Build Agency,Discussion on homes for ex-servicemen
"Assistant Government Whip, Phillip Dunne MP","July, 2010",Retail Filling Station Trade Associations,Discussion on business rates
Other Whips (Commons),nil return,,
"Chief Whip (Captain of the Honourable Corps of the Gentlemen-at-Arms), The Rt Hon Baroness Anelay of St Johns DBE",nil return,,
Whips (Lords),nil return,,
,,,
,,,
Note,,,
"Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars;  and offers of hospitality which were declined",,,
