Minister,Date,Name of Organisation,Purpose of meeting
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",January,Crisis,Transparency Bill
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",January,"Oxfam, Big Brother Watch, Counytryside Alliance, NCVO, ACEVO",Transparency Bill
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",March,IPSA,Bilateral
"Parliamentary Secretary, Deputy Leader of the House of Commons, The Rt Hon Tom Brake MP",January,Crisis,Transparency Bill
"Parliamentary Secretary, Deputy Leader of the House of Commons, The Rt Hon Tom Brake MP",January,"Oxfam, Big Brother Watch, Counytryside Alliance, NCVO, ACEVO",Transparency Bill
"Parliamentary Secretary, Deputy Leader of the House of Commons, The Rt Hon Tom Brake MP",March,"Sue Inglish, BBC",TV Licensing and Charter Review
"Parliamentary Secretary, Deputy Leader of the House of Commons, The Rt Hon Tom Brake MP",March,Link Integrated Security Services,StaffGuard' for betting shops
"Parliamentary Secretary, Deputy Leader of the House of Commons, The Rt Hon Tom Brake MP",March,BBC,Deregulation Bill - TV licensing
"Parliamentary Secretary, Deputy Leader of the House of Commons, The Rt Hon Tom Brake MP",March,Ramblers,Deregulation Bill - Rights of Way
"Parliamentary Secretary, Deputy Leader of the House of Commons, The Rt Hon Tom Brake MP",March,Westminster Advisers,Cycle to work tax scheme
"Comptroller of HM Household and Deputy Chief Whip, The Rt Hon Don Foster MP",January,RBS,Catch up/general discussion
"Assistant Whip, Harriett Baldwin MP",March,JVM Equipment,Trade with Russia
"Assistant Whip, Claire Perry MP",February,Adam Kinsley,A demo of their online safety tools
"Assistant Whip, Claire Perry MP",February,Virgin Media,A demo of the educational tools for parents that sit alongside their online safety measures
"Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard), Lord Newby OBE",March,Harrington Brooks,Regulation of debt management programmes
"Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard), Lord Newby OBE",March,Bellenden/Element Power,Potential energy imports schemes
"Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard), Lord Newby OBE",March,CUNA,Mortgage protection packages
"Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard), Lord Newby OBE",March,Keene Communications,Future potential client events
"Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard), Lord Newby OBE",March,Credit Services Association,Regulation of credit
"Government Whip (Lords), Lord Ahmad of Wimbledon",January,Duncan Lewis Solicitors,Discussion of Muslim marriages
"Government Whip (Lords), Lord Ahmad of Wimbledon",March,Fazilia Trust,Education funding in Pakistan
"Government Whip (Lords), Baroness Northover",January,Adlens,Discussion of innovative design for possible use in developing world
"Government Whip (Lords), Lord Wallace of Saltaire",February,InCommunities,Discussion of apprenticeships
"Government Whip (Lords), Lord Wallace of Saltaire",February,Forum on Iran (sponsored by the British Academy,Discussion on Iran
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
