Minister,Date,Name of Organisation,Purpose of meeting
"Prime Minister, The Rt Hon David Cameron MP",October,Tim Montgomerie (Conservative Home),General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,"Mark Thompson, BBC ",
"Prime Minister, The Rt Hon David Cameron MP",October,BBC,General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,"Tony Gallagher (Telegraph), Ian Macgregor (Sunday Telegraph)",General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,James Harding (The Times),General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,Dominic Mohan (The Sun),General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,Peter Wright (Mail on Sunday) ,General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,Lionel Barber (FT) ,General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,Geordie Grieg (Evening Standard),General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,Hugh Grant (Hacked Off) ,General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,Paul Dacre (Daily Mail),General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,Finucane Family,To discuss next steps in case
"Prime Minister, The Rt Hon David Cameron MP",October,"Mothers’ Union, Outdoor Media Centre, British Retail Consortium, Children’s Charities’ Coalition on Internet Safety, BT, Openreach, Talk Talk, BBC, Box Television, GirlGuiding UK, Vodafone, Advertising Association, MTV, Primark, Advertising Standards Authority, Family and Parenting Institute, Netmums, Mumsnet, BPI, OBJECT  ",To discuss Reg Bailey Review
"Prime Minister, The Rt Hon David Cameron MP",October,"UCL - Institute of Child Health, Great Ormond Street Hospital for Children & National Centre for Young People with Epilepsy, National Centre for Young People with Epilepsy, Joint Epilepsy Council, Epilepsy Action ",To discuss epilepsy
"Prime Minister, The Rt Hon David Cameron MP",October,Whizz Kidz ,To discuss innovative wheelchairs
"Prime Minister, The Rt Hon David Cameron MP",October,Bill Bratton ,Tackling gang crime
"Prime Minister, The Rt Hon David Cameron MP",October ,Citizens Advice Bureau ,Energy Efficiency
"Prime Minister, The Rt Hon David Cameron MP",October,Joe Lewis,Redevelopment of Tottenham Hotspur Stadium
"Prime Minister, The Rt Hon David Cameron MP",October,BAE Systems ,To discuss corporate governance within BAES
"Prime Minister, The Rt Hon David Cameron MP",October,Archbishop of Canterbury  ,General discussion
"Prime Minister, The Rt Hon David Cameron MP",October,Bank of England  ,Discussion of economic outlook
"Prime Minister, The Rt Hon David Cameron MP",October,Lockhead Martin ,Warrior upgrade programme
"Prime Minister, The Rt Hon David Cameron MP",October,Business Advisory Group ,General discussion on business issues
"Prime Minister, The Rt Hon David Cameron MP",November,"Pearson (Penguin Group),Vodafone, JCB, KPMG, 3I, Standard Chartered, Balfour Beatty, Wellcome Trust ",UK/India CEO Forum – meeting with UK CEOs 
"Prime Minister, The Rt Hon David Cameron MP",November,National Trust ,Discussion of planning reform
"Prime Minister, The Rt Hon David Cameron MP",November,"BCC, IoD, CBI, FSB, EEF ",General discussion of economy
"Prime Minister, The Rt Hon David Cameron MP",November,Dieter Helm ,Infrastructure discussion
"Prime Minister, The Rt Hon David Cameron MP",November,Bank of England ,Discussion of economic outlook
"Prime Minister, The Rt Hon David Cameron MP",November,Groves Family ,Drug driving
"Prime Minister, The Rt Hon David Cameron MP",November,Rolls Royce/Simon Robertson Association ,General discussion
"Prime Minister, The Rt Hon David Cameron MP",November,Daily Mail,General discussion
"Prime Minister, The Rt Hon David Cameron MP",December,JCB ,General discussion
"Prime Minister, The Rt Hon David Cameron MP",December,Paul Dacre (Daily Mail),General discussion
"Prime Minister, The Rt Hon David Cameron MP",December,Kenneth Rogoff ,Discussion of economic outlook
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
