Minister,Date,Name of Organisation,Purpose of meeting
"Prime Minister, The Rt Hon David Cameron MP",April,"Santander UK, FCC, Ferrovial, Gamesa, International Airlines Group, Iberdrola, OHL, Telefonica, Acciona",Inward investor roundtable
,April,Daily Telegraph,General discussion
,April,Facebook,Drop in to Chancellor’s meeting to discuss book and digital issues
,April,Chief Rabbi,Discussion on faith matters
,April,Police Federation,Introductory meeting
,April,"Dominic Mohan, The Sun",General discussion
,April,"The Argus (Brighton), Birmingham Post & Mail, Yorkshire Post, Western Mail, Lancashire Post, Wolverhampton Express & Star, East Anglian Daily Times, Nottingham Post, Derby Telegraph, The Herald (Plymouth), Lancashire Telegraph",General discussion with Regional Editors
,April,"Aidan Barclay, Telegraph Media Group",General discussion
,April,"Bond, ONE, Tearfund, Christian Aid, Action Aid, Oxfam, CAFOD,Save the Children, Concern,CARE, UNICEF UK, Interact Worldwide, Publish What You Pay, Global Witness, Revenue Watch Institute, Transparency International, Everychild, Sightsavers, WWF, RSPB, Development Initiatives, Green Alliance, Age International, Saferworld, International Alert,Global Poverty Project, Gates Foundation, Restless Development, Mo Ibrahim Foundation, Soros (Open Societies Foundation), Traidcraft, CIFF",NGO Priorities for the High Level Panel and the G8
,April,Lancashire Evening Post,General discussion
,April,Sunday Telegraph,General discussion
,May,"BCC, Octink, i-education, Blends for Friends, Realise Futures, COS Group, Sonifex Limited, Flakt Woods, Machine Tools, Nachural Group Ltd, Fluid Transfer, Pennine Healthcare, Kinloch Anderson, Wright Group, Solar Europa",To discuss SME exports
,May,"Tony Hall, BBC",Introductory meeting
,May,"Million Jobs, Fujitsu, Manpower, The Dailey Partnership, Business for Britain, Jobs Network, Mastercard, Holts Group, BSA Consulting, BVCA, PeraTraining, Pimlico Plumbers, iCITY, Institute for Economic Affairs, The Communications Agency, Tomorrow’s People, Experian, Toby Baxendale ",To discuss business support for the Million Jobs Campaign
,May,BG Group,Introductory meeting
,May,"Anti-Tribalism Movement, Somali Youth Forum, Elays network,  Somali Development Services, Somali Youth, Act Somalia",Meeting with British Somalis ahead of the Somalia Conference 
,May,"John Witherow, The Times",General discussion
,May,"Populous, Mace",To discuss 2014 Winter Olympic Park site
,May,"State Street Corporation, Wellington Management Company LLP, MFS Investment Management, Putnam Investments, Natixis Global Asset Management, Fidelity Investments, Loomis Sayles, Black Rock",Inward investors round table
,May,"Johnson and Johnson, Baxter, Eli Lilly, Pfizer, Covance Inc, Merck and Co, Bristol-Myers Squibb, Amgem, Gilead,  AbbVie Inc, Thermo Fisher Scientific, Biogen Idec",Pharmaceutical and healthcare inward investor roundtable
,May,"Rachel Richardson (Fabulous), Jo Elvin (Glamour), Susan Riley (Stylist), Lindsay Nicholson (Good Housekeeping), Louise Court (Cosmopolitan), Diane Kenwood (Woman's Weekly), Valery McConnell (Yours), Trish Halpin (Marie Claire), Jane Bruton (Grazia), Helen Johnston (Tesco Magazine), Sarah Bailey (Red)",General discussion with women’s magazines editors
,May,"New York Times, Financial Times, Egyptian Muslim Brotherhood, Quilliam Foundation, Institute of Development Studies, Yusra Ghannouchi",To discuss Middle East issues
,May,European Space Agency,To discuss space mission
,May,"Burberry, CBI, Tesco, Vodafone, Alliance Trust, Thomas Cook, TalkTalk, BAE Systems, All3Media, Google, John Lewis, Tata Group, Prudential, GSK",To discuss general business issues
,May,"CBI, MEDEF, Federation of German Industries, Russian Union of Industrialists and Entrepreneurs, BusinessEurope, Canadian Chamber of Commerce",Pre-G8 Summit discussion
,June,Hitachi,Discussion on the UK’s energy and rail sectors
,June,"Samsung Electronics, Osborne & Partners",Drop in on meeting between Ed Vaizey and Samsung to discuss investment and communications issues
,June,"EADS, BAE Systems, Rolls Royce",defence industry strategy
,June,Bilderberg Group,General discussion
,June,"Tony Gallagher, Daily Telegraph",General discussion
,June,"Aruna Roy, Inuka Kenya Trust, fka Zinduko Trust, Twaweza, Silas Kpanan' Ayoung Siakor, ONE Campaign, Ushahidi",Meeting with Transparency Champions
,June,"Sihala Flour & General Mills (Pvt) Ltd, Ittehad Steel Industries, Servaid Pharmacy (Private) Ltd, Naseeb Network, StatusPro360, Eco Systems (PVT) Ltd, Nishat Group, MCB Bank Ltd, Gul Ahmed Group, Descon Engineering, Lakson Group of Companies, Lucky Cement, GlaxoSmithKline, Standard chartered Bank, Unilever Pakistan, Orion Energy, CBI Scotland, PBTIF",To discuss British and Pakistani business cooperation and trade
,June,"Allen & Overy, ACCA, Association of Colleges, Atkins, BEL Valves, BG Group, British Council, University of Exeter, CMS Cameron Mckenna, Dando Drilling International, Ernst & Young, Institute of Directors, Invensys, Kilfrost, Lloyd’s Register, Cambridge University, OptaSense, Petrofac, Populous, Rolls-Royce, Royal Dutch Shell, SUN Group, Surrey Satellite Technology, UK Export Finance, UK Higher Education International Unit, UCL, University of Warwick, Virgin Management, Wood Group, Worley Parsons, Greg Conlon",UK/Kazakhstan business
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
