Minister,Date,Name of Organisation,Purpose of meeting
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,"Social Enterprise Brigade: PWC, De Vere, Beyond Food Foundation",Big Society discussion
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,London Stock Exchange,General discussion
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,Sarah Sands (Evening Standard),General discussion
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,"Rhodri Talfan Davies ( BBC Cymru Wales), and Deputy Head of BBC Wales News",Tour of newsroom
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,"Hitachi, Toyota, Toshiba, Mitsubishi Heavy Industries, Nissan, Nomura, Sony Corporation, Kyocera, Takeda Pharmaceutical, Eisai",Investor roundtable
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,"Usaha Tegas, SP Setia Berhad, Genting Malaysia, YTL Power International Bhd, Lembaga Tabung Haji, Syarikat Takaful Malaysia Bhd, MRCB, BRDB, IGB Corporation Berhad, IOI Group, PricewaterhouseCoopers Malaysia, Khazanah",Investor roundtable
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,Steve Hall (Derby Telegraph),Tour of newsroom / General discussion
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,Hutchison Whampoa,General discussion
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,"Donald Martin (Sunday Post), Richard Neville (Courier), Richard Prest (Evening Telegraph), Damian Bates (Aberdeen Press and Journal), Alan McCabe (Aberdeen Evening Express)",General discussion
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,BAE,General discussion
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,Norville Group,Tour of site/ General discussion
"Prime Minister, The Rt Hon David Cameron MP",Apr-12,Airbus,Tour of site / General discussion
"Prime Minister, The Rt Hon David Cameron MP",May-12,"ONE, Kingfisher, Comic Relief, Oxfam",UN Panel on Development
"Prime Minister, The Rt Hon David Cameron MP",May-12,Geordie Greig (Mail on Sunday),General discussion
"Prime Minister, The Rt Hon David Cameron MP",May-12,Shell,Energy discussion 
"Prime Minister, The Rt Hon David Cameron MP",May-12,"PACT, Premier League, Time Warner, BPI, Google, Random House, Frontier Developments, Universal, Beggars Banquet, Sony, Spotify, O2, Virgin Media, Working Titles Films, BSkyB, British Telecom, Apple of Europe, Eidos Games",Business Breakfast
"Prime Minister, The Rt Hon David Cameron MP",May-12,"Lloyds of London, Aon (US), Marsh (US), Hiscox, Amlin",Tour visit to launch Lloyds 2020 vision
"Prime Minister, The Rt Hon David Cameron MP",May-12,Templeman Foundation ,General discussion
"Prime Minister, The Rt Hon David Cameron MP",May-12,"Business Advisory Group: Climate Change Capital, Centrica, CBI, Arup, Dyson , BAE Systems, 3i, BT, John Lewis , J Sainsbury, WPP, Diageo, TalkTalk, Airbus, Prudential, Alliance Trust, FSB, Premier Farnell, Sony",Business meeting
"Prime Minister, The Rt Hon David Cameron MP",May-12,Alexander Lebedev (Evening Standard/Independent),General discussion
"Prime Minister, The Rt Hon David Cameron MP",May-12,Siemens,Tour of site/General discussion 
"Prime Minister, The Rt Hon David Cameron MP",May-12,"Prikzker Group, Caterpillar, Walgreens, Allstate Insurance, Kraft, Lightbank, Northern Trust",US Business roundtable
"Prime Minister, The Rt Hon David Cameron MP",May-12,Dominic Mohan (The Sun),General discussion
"Prime Minister, The Rt Hon David Cameron MP",May-12,Alzheimer’s Society,Discussion on dementia
"Prime Minister, The Rt Hon David Cameron MP",May-12,The Prince’s Trust ,Launch of Enterprise Loans 
"Prime Minister, The Rt Hon David Cameron MP",May-12,Bank of England,Economy discussion
"Prime Minister, The Rt Hon David Cameron MP",Jun-12,"Statoil, Statkraft, Statnett, Gassco, Aker Solutions, Fred Olsen, Centrica, National Grid, Shell, Northconnect",Energy discussion
"Prime Minister, The Rt Hon David Cameron MP",Jun-12,Danny Boyle,Olympics discussion
"Prime Minister, The Rt Hon David Cameron MP",Jun-12,"Petrofac Ltd, AMEC Group, The Weir Group, DF Concerts Ltd, Hartmann Media, Gleneagles Hotel, Murdoch MacLennan, (Telegraph Media Group), CBI Scotland, Espirito Santo, MJM International Ltd, Mama Tea, Aggreko, Virgin Money, Tunnock’s Biscuits",Scottish Business Leaders Lunch 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
