Minister,Date,Name of Organisation,Purpose of meeting
"Prime Minister, The Rt Hon David Cameron MP",January,Bishop of Liverpool and Hillsborough families,Private meeting on Hillsborough tragedy
,January,"Breast Cancer Care, Breakthrough, Breast Cancer Campaign ",Meeting on breast cancer
,January,Vodafone,General discussion
,January,"London Jewish Forum, Partnerships for Jewish Schools, Jewish Care, Board of Deputies of British Jews, Mitzvah Day, Community Security Trust, Zionist Youth Council, British Israel Communications and Research Centre",Meeting with the Jewish Leadership Council to discuss domestic and foreign policy issues
,January,"ASOS, ASDA,  British Retail Consortium, Kingfisher, Co-op, M&S, Nestle, Sainsburys, Superdrug, Unilever, WPP",Meeting to discuss the retail sector
,January,Royal British Legion ,Meeting to discuss the work of the Royal British Legion
,January,TUC  ,General discussion
,January,Dow Chemical Company,Meeting to discuss potential investments in the UK at World Economic Forum
,January,Bank of Canada ,Meeting to discuss the UK economy at World Economic Forum
,January,"Sir Harold Evans, Steve Adler and Michael Stott, Reuters ",General discussion
,February,"Julie Bailey, Deb Hazeldine,Steve Hazeldine, Walter Giles,Roger Dobbing, Ann Dobbing,Castell Davis, Rebecca Davis,Mary Millington, Jeff Guest, Chris Dalziel, Nicola Monte,Sonia Burnhill, James Duff,Frank Robinson, Janet Robinson and Len Lownds ",Meeting on inquiry into Mid-Staffs hospital 
,February,Church of Scotland,Annual meeting with Moderator of Church of Scotland
,February,"Monsoon and Accessorize, DLA Piper, Solent India Business Network, Oxford Business Group, Atkins, West Nottinghamshire College, Tata Consultancy Services (TCS) UK, Polaris Financial Technology, Lloyd's, Virgin Atlantic, Wadaro, Pi Capital, UK Export Finance, Cobham, Mitra, Transport for London, Pathfinder Health, BP, Wellcome Trust, Brit Health Care, Confederation of British Industry, The Clinical Trial Company Ltd, Deloitte, Debenhams, TPP, Ultra PRT, University of Southampton, Triumph Motorcycles, Trans Data Management, Benoy, McAslan, MBDA, The City UK/The Standard Life, Healthcare UK, Balfour Beatty, University of Warwick, Project Orange Architects & Interiors, Sybarite, Aecom, Conversor, The Blackstone Group, Universities UK, Hildebrand, KPMG, HSBC, Mott MacDonald, Financial Services Authority, Association of Corporate Treasurers, BT, Intercontinental Hotels, Vodafone, Cobra Beer Partnership, Int Knowledge & Innovation Unit, Ultra Electronics, Group Rhodes, BAE Systems, Thames Bridge Capital, Griffon Hoverworks, Rolls-Royce, Veetee Rice, Innovative Physics, British Museum, Bournville College, East End Foods, OCS, Diageo, Technology Strategy Board, JCB, London School of Economics, The Open University, J&H Sales, DMC Healthcare, UKIBC, CTC Aviation, Steps Drama, Marshall Aerospace, EADS, The British Library, Roy Newey, Flitabout , Investis, London Stock Exchange, Serco, Redgate, Infosys, University of Exeter, London Chamber of Commerce & Industry, Strongfield Technology, Arup, De La Rue, University of Cambridge, Muntons, Invotec Group Ltd, British Council, Thales UK, Standard Chartered, Hip Impact Protection, Premier League, Bluewater Bio",Drop in to Lord Green’s India Trade delegation breakfast in advance of PM’s visit to India
