Minister,Date,Name of Organisation,Purpose of meeting
"Prime Minister, The Rt Hon David Cameron MP",Jul-12,"EADS UK, ADS,  FIA",To discuss the Aerospace industry at the Farnborough Airshow
,Jul-12,"Rocket Investments, Star properties, Tec City Investments,  CBRE Ltd, Mountgrange, Hammerson, Greater London Authority, Workspace, Delancey, Knight Frank, Argent, Shaw Corporation, Derwent, The Work Foundation, City of London, Farrell & Partners, British Leyland, Chelsfield LLP,  CWM ",To discuss Tech City Development
,Jul-12,Gates Foundation,Family Planning Summit
,Jul-12,Sequoia Capital ,Discussion on Oxford university 
,Jul-12,"Tony Gallagher, Daily Telegraph ",General Discussion
,Jul-12,Vodafone,General Discussion 
,Jul-12,"Qatar Holding, Kuwait Investment Authority, Abu Dhabi Investment Authority, Ontario Teachers’ Pension Plan, Macquarie, Mitsubishi Heavy Industries Ltd, Sime Darby Berhad,DP World, S P SetiaNBIM, Infrastructure UK, CICC  ",General discussion with investors
,Jul-12,"Scottish Council for Development & Industry, STUC, Scottish Financial Enterprise, Brodies  BP Ove Arup and Ptnrs,  Deloittes, Gordon & Macphail",General discussion
,Aug-12,The Sun,General discussion 
,Aug-12,"BAE Systems, Cambridge University, UK Atomic Energy Authority, McLaren, Oxford University, BP, Amadeus Capital Partners, McLaren, Oxford University, Cambridge University, Imperial College, Kavli Royal Society International Centre,  Manchester University, Intrinsiq Materials Limited, Sheffield University, Thomas Swan & Co Limited","Discussion on Advanced Materials, research and industrial exploitation"
,Aug-12,"Big Talk Productions, ITV, Warner Brothers, Kim Cattrall, Danny Cohen, Lord Fellowes, Peter Fincham,  Endemol UK, Tom Hollander, Steve Levitan, Nigel Lythgoe, Steven Moffat, Abi Morgan, Netflix, NBCU International, BSkyB, Sony ",Dinner to discuss the creative industries with key international and domestic figures. 
,Aug-12,Telefonica Europe ,General discussion
,Sep-12,"Morrisons, Waitrose, Nestle,  Bakkavor Group, Musgrove Group, Asda, Warburtons, Dairy Crest, Brakes, Pepsico UK, Vion Foods UK, NFU, Sainsburys, Compass Group, IGD, ICG,  Mars, Marks and Spencer, Co-operative Group, Greencore Group",Roundtable and showcase to promote Feeding Britain’s Future initiative and role of food and drink industry in UK and career opportunities for young people
,Sep-12,Huawei Technologies Co   ,General discussion
,Sep-12,Starbucks,General discussion
,Sep-12,"James Harding, The Times",General discussion 
,Sep-12,"Evgeny Lebedev, Evening Standard/Independent",General discussion 
,Sep-12,"Countryside Alliance, British Poultry Council, British Dairy Farmers, Gamekeepers’ Association, Countryfile, Linking Environment and Farming, National Farmers’ Union, John Craven (Countryfile), Co?operative Farms, Royal Agricultural College, Moorland Association,  Dairy UK, National Sheep Association, Tenant Farmers’ Association, Women’s Food and Farming,  Centre for Rural Policy Research, Countryside Alliance, Country, Land and Business, Young Farmers’ Club, Game and Wildlife Conservation, British Pig Executive, Angling Trust, Agricultural Industries",Discussion on farming issues
,Sep-12,"Home Builders Federation, Carillion, Balfour Beatty, Atkins, Barratt Developments, Wates Group, Hanson Cement Group, Land Securities, Skanska",General discussion 
,Sep-12,"Geordie Greig, Mail on Sunday",General discussion 
,Sep-12,"General Assembly, Carrot Creative, Opera Solutions, Milk Studios, Taboola, Sailthru, Kickstarter, Sonar, betaworks, Etsy, Refinery29, Enstoa,  Foursquare ",Discussions on technology investment in UK
,Sep-12,EBX,UK/Brazil trade and investment
,Sep-12,BNDES Development Bank ,UK/Brazil trade and investment
,Sep-12,Petrobras,UK/Brazil trade and investment
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
