Minister,Date,Name of Organisation,Purpose of meeting
"Prime Minister, The Rt Hon David Cameron MP",Oct-12,"Lionel Barber and George Parker, Financial Times ",General discussion
,Oct-12,"Rio Tinto, BAE, BP, BAT, Diageo, Shell, Unilever, Vodafone",Annual meeting of the Multi National Chairmen’s Group to discuss business issues
,Oct-12,"Derek Gannon, Chief Operating Officer of Guardian News and Media ",Diana Awards 
,Oct-12,"CBI, Institute of Directors, British Chamber of Commerce, Federation of Small Business, EEF – The Manufacturing Organisation ",Business Breakfast
,Oct-12,"Tony Gallagher, Ian MacGregor and Murdoch MacLennan, The Telegraph/Sunday Telegraph ",General Discussion
,Oct-12,James Harding The Times,General Discussion
,Oct-12,"Dominic Mohan, Sun",General Discussion
,Oct-12,Hacked Off and victims of press abuse,General discussion
,Oct-12,"Paul Dacre, Daily Mail",General discussion 
,Oct-12,"Sumitomo Chemical Co Ltd,JX Holdings Inc, East Japan Railway Company, Sumitomo Mitsui Financial Group, Asahi Group Holdings Ltd, International Affairs Bureau, Simul International Inc, ",Encouraging trade and investment with Japan
,Oct-12,"Asda, Associated British Foods, Atos, Babock International, BAE Systems, Balfour Beatty, Bank of England, Boeing, BP, British Airways, British Bankers’ Association, British Chambers of Commerce, BT, Business Services Association, CapGemini, Carillion, CBI, Centrica, Dell, Diageo, EDF Energy, EEF, Finmeccanica UK,FSB, General Dynamics UK, GKN, Glaxosmithkline, Home Retail Group, HP UK, IBM,J Sainsbury, Jaguar Land Rover, Kingfisher, Lockheed Martin UK, Marks and Spencer, MBDA UK, Raytheon UK, Rolls Royce, Serco, Shell, Statoil, Tata Group,Tesco plc, Thales, Vodafone Group, WPP Group",To discuss supply chain issues
,Oct-12,Sir Philip Green,General discussion
,Oct-12,"Martin Townsend, Sunday Express",General discussion
,Nov-12,"AMEC, BAE Systems, Balfour Beatty plc, BP, Brunswick, Carillion, Foster & Partners, HSBC, Imperial College London,  KPMG, MBDA, Rolls Royce, Serco, Shell, Standard Chartered Bank, BBG Abu Dhabi, BBG Dubai, Etihad Rail, National Bank of Abu Dhabi, Abu Dhabi Securities Exchange, Abu Dhabi National Oil Company, Thani Holdings, Meydan City Corporation, Easa Saleh Al Gurg Group, Bin Hamoodah Holding,MASDAR, Abu Dhabi National Oil Company, DP World, ALDAR Properties, Baynuna Group Company, Taqa, Abu Dhabi Chamber of Commerce & Industry, Sharjah Chamber of Commerce & Industry, Dubai Chamber of Commerce & Industry",Commercial Relations
,Nov-12,"Xenel, Naghi Group, MIDROC, SEDCO Capital",Commercial Relations
,Nov-12,Microsoft,General discussion
,Nov-12,"John Witherow and Martin Ivens, Sunday Times",General discussion
,Nov-12,"BP, GSK, BT, Centrica",Business Breakfast on implementation and industrial strategy
,Nov-12,"Tom Bradby, ITV",General discussion
,Nov-12,"Climate Change Capital, CBI,Dyson, Thomas Enders, CEO, Airbus, Thomas Cook, TalkTalk, J Sainsbury, Centrica, BAE Systems, BT, Sony, Tata Sons, Prudential, FSB, GSK",Business Advisory Group Meeting
,Nov-12,"Action Aid, Oxfam, CAFOD, Christian Aid, Save the Children, BOND, ONE ",To discuss future priorities on international development
,Nov-12,Save the Children,To discuss development and nutrition
,Nov-12,Governor Bank of England,General discussion
,Nov-12,Hacked Off and victims of press abuse,General discussion
,Nov-12,Oxford University,To discuss plans for the G8 summit
,Dec-12,"Alan Rusbridger, The Guardian, James Harding, The Times,Tony Gallagher, The Telegraph, Lord Black, Lionel Barber, Financial Times, Chris Blackhurst, The Independent,Peter Wright, Daily Mail,Sarah Sands, Evening Standard,Dominic Mohan, The Sun,Paul Ashford, The Express/The Star, John Witherow, Sunday Times, Lloyd Embley, Mirror and Sunday Mirror, Lord Hunt,Geordie Grieg, Mail on Sunday,John Mullin, Independent on Sunday, Ian MacGregor, Sunday Telegraph, John Micklethwait, The Economist, Fraser Nelson, The Spectator, Bob Satchwell, Society of Editors",Discussion on Leveson implementation
,Dec-12,Shell,Discussion of energy issues
,Dec-12,The Times,General discussion
,Dec-12,Archbishop of Canterbury,General discussion
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
