Meeting ID,Minister,Role,Department,Start Date,End Date,Organization,Representative,Reason
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Google ,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Advertising Association,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Direct Marketing Association,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Incorporated Society of British Advertisers,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Barclays,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,ITV,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Institute of Practitioners in Advertising,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Aegon Direct Marketing,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,British Interactive Media Association,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Internet Advertising Bureau,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Newspaper Publishers Association,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Materials Research Society,,Roundtable discussion on Data Protection
