Meeting ID,Minister,Role,Department,Start Date,End Date,Organisation,Representative,Reason,Hopspitality?,Original File,Original Row
1,Attorney General Dominic Grieve QC MP,,Attorney General's Office,07-2012,07-2012,Sky,,Summer reception,0,83069_AGO_meetings_July_Sept_12.csv,1
2,Attorney General Dominic Grieve QC MP,,Attorney General's Office,07-2012,07-2012,Law Society,,Introductory meeting,0,83069_AGO_meetings_July_Sept_12.csv,2
3,Attorney General Dominic Grieve QC MP,,Attorney General's Office,09-2012,09-2012,Bar Standards Board,,Regular catch up meeting,0,83069_AGO_meetings_July_Sept_12.csv,3
4,Solicitor General Oliver Heald QCMP,,Attorney General's Office,09-2012,09-2012,Bar Standards Board,,Regular catch up meeting,0,83069_AGO_meetings_July_Sept_12.csv,6
5,Former Solicitor General Edward Garnier QC MP,,Attorney General's Office,07-2012,07-2012,Sky,,Summer reception,0,83069_AGO_meetings_July_Sept_12.csv,9
6,Former Solicitor General Edward Garnier QC MP,,Attorney General's Office,07-2012,07-2012,Law Society,,Introductory meeting,0,83069_AGO_meetings_July_Sept_12.csv,10
7,Former Solicitor General Edward Garnier QC MP,,Attorney General's Office,07-2012,07-2012,GC100 members,,To discuss Deferred Prosecution Agreements,0,83069_AGO_meetings_July_Sept_12.csv,11
8,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2011,05-2011,Law Faculty,,To discuss economic crime,0,15538_AGO_meetings_April_-_June_2011.csv,1
8,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2011,05-2011,Cambridge University,,To discuss economic crime,0,15538_AGO_meetings_April_-_June_2011.csv,1
9,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2011,05-2011,Barnardos,,To discuss children in the Criminal Justice System.,0,15538_AGO_meetings_April_-_June_2011.csv,2
10,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2011,05-2011,Tim Montgomerie,,General discussion,0,15538_AGO_meetings_April_-_June_2011.csv,3
10,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2011,05-2011,Conservative Home,,General discussion,0,15538_AGO_meetings_April_-_June_2011.csv,3
11,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2011,05-2011,Bar Standards Board,,General discussion,0,15538_AGO_meetings_April_-_June_2011.csv,4
12,Attorney General Dominic Grieve QC MP,,Attorney General's Office,06-2011,06-2011,Centre for Social Justice,,To discuss the Criminal Justice Slavery review,0,15538_AGO_meetings_April_-_June_2011.csv,5
13,Solicitor General Edward Garnier QC MP,,Attorney General's Office,05-2011,05-2011,Law Faculty,,To discuss economic crime,0,15538_AGO_meetings_April_-_June_2011.csv,7
13,Solicitor General Edward Garnier QC MP,,Attorney General's Office,05-2011,05-2011,Cambridge University,,To discuss economic crime,0,15538_AGO_meetings_April_-_June_2011.csv,7
14,Attorney General Dominic Grieve QC MP,,Attorney General's Office,03-2011,03-2011,Professor Barry Rider,,Introductory meeting and a discussion on international corruption,0,15542_Meetings_1_January__31_March_2011.csv,2
15,Attorney General Dominic Grieve QC MP,,Attorney General's Office,10-2010,10-2010,Dr Sophie Turenne,,To discuss the second edition of the book Judges on Trial,0,15809_Ministers__meetings_1_October_-_31_December_2010.csv,1
16,Attorney General Dominic Grieve QC MP,,Attorney General's Office,11-2010,11-2010,National Autistic Society,,To discuss disability hate crimes,0,15809_Ministers__meetings_1_October_-_31_December_2010.csv,2
16,Attorney General Dominic Grieve QC MP,,Attorney General's Office,11-2010,11-2010,Mencap.,,To discuss disability hate crimes,0,15809_Ministers__meetings_1_October_-_31_December_2010.csv,2
17,Attorney General Dominic Grieve QC MP,,Attorney General's Office,11-2010,11-2010,Kaku Hirao,,To discuss the Criminal Justice System.,0,15809_Ministers__meetings_1_October_-_31_December_2010.csv,3
18,Attorney General Dominic Grieve QC MP,,Attorney General's Office,11-2010,11-2010,Peace Brigades International,,To discuss Pro Bono,0,15809_Ministers__meetings_1_October_-_31_December_2010.csv,4
19,Solicitor General Edward Garnier QC MP,,Attorney General's Office,08-2010,08-2010,Jessica de Grazia (individual),,Discussion on economic crime,0,15888_Ministers_meetings__1_August_-_30_September_2010.csv,1
20,Solicitor General Edward Garnier QC MP,,Attorney General's Office,09-2010,09-2010,Jonathan Fisher QC,,Discussion on economic crime,0,15888_Ministers_meetings__1_August_-_30_September_2010.csv,2
21,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2012,05-2012,University College London,,Judicial independence,0,15101_AGO_meetings_April_-_June_2012.csv,1
22,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2012,05-2012,ILEX,,Regulation of reserved legal activities.,0,15101_AGO_meetings_April_-_June_2012.csv,2
22,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2012,05-2012,CILEX,,Regulation of reserved legal activities.,0,15101_AGO_meetings_April_-_June_2012.csv,2
23,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2012,05-2012,Victim Support,,Future of victim and witness services,0,15101_AGO_meetings_April_-_June_2012.csv,3
24,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2012,05-2012,University College London,,Jury misconduct,0,15101_AGO_meetings_April_-_June_2012.csv,4
25,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2012,05-2012,Youth at Risk,,Update meeting,0,15101_AGO_meetings_April_-_June_2012.csv,5
26,Attorney General Dominic Grieve QC MP,,Attorney General's Office,05-2012,05-2012,Nadia Eweida,,Governments approach to Christianity,0,15101_AGO_meetings_April_-_June_2012.csv,6
27,Solicitor General Edward Garnier QC MP,,Attorney General's Office,05-2012,05-2012,ILEX,,Regulation of reserved legal activities.,0,15101_AGO_meetings_April_-_June_2012.csv,9
27,Solicitor General Edward Garnier QC MP,,Attorney General's Office,05-2012,05-2012,CILEX,,Regulation of reserved legal activities.,0,15101_AGO_meetings_April_-_June_2012.csv,9
28,Attorney General Dominic Grieve QC MP,,Attorney General's Office,16-10-2013,16-10-2013,CILEX,,Catch up on issues affecting Chartered Legal Executives,0,313522_AGO_meetings_Oct_-_Dec_13.csv,2
29,Attorney General Dominic Grieve QC MP,,Attorney General's Office,21-10-2013,21-10-2013,Justice,,Introductory meeting with new Director,0,313522_AGO_meetings_Oct_-_Dec_13.csv,3
30,Attorney General Dominic Grieve QC MP,,Attorney General's Office,25-11-2013,25-11-2013,Law Society,,Catch up on issues affecting the solicitors profession,0,313522_AGO_meetings_Oct_-_Dec_13.csv,4
31,Attorney General Dominic Grieve QC MP,,Attorney General's Office,27-11-2013,27-11-2013,Delegation of Russian Judges,,To discuss justice and rule of law matters.,0,313522_AGO_meetings_Oct_-_Dec_13.csv,5
32,Attorney General Dominic Grieve QC MP,,Attorney General's Office,03-12-2013,03-12-2013,Delegation of French Judges,,To promote better understanding of the British judicial and common law systems,0,313522_AGO_meetings_Oct_-_Dec_13.csv,6
33,Attorney General Dominic Grieve QC MP,,Attorney General's Office,09-12-2013,09-12-2013,Bar Council,,Catch up on issues affecting the Bar,0,313522_AGO_meetings_Oct_-_Dec_13.csv,7
34,Solicitor General Oliver Heald QC MP,,Attorney General's Office,16-10-2013,16-10-2013,CILEX,,Catch up on issues affecting Chartered Legal Executives,0,313522_AGO_meetings_Oct_-_Dec_13.csv,10
35,Solicitor General Oliver Heald QC MP,,Attorney General's Office,25-11-2013,25-11-2013,Law Society,,Catch up on issues affecting the solicitors profession,0,313522_AGO_meetings_Oct_-_Dec_13.csv,11
36,Solicitor General Oliver Heald QC MP,,Attorney General's Office,09-12-2013,09-12-2013,Bar Council,,Catch up on issues affecting the Bar,0,313522_AGO_meetings_Oct_-_Dec_13.csv,12
37,Attorney General Dominic Grieve QC MP,,Attorney General's Office,02-07-2013,02-07-2013,Bar Council,,Catch up on issues affecting the Bar,0,268386_AGO_meetings_July_-_Sept_13.csv,2
38,Attorney General Dominic Grieve QC MP,,Attorney General's Office,03-07-2013,03-07-2013,Bar Standards Board,,Catch up on issues affecting the Bar,0,268386_AGO_meetings_July_-_Sept_13.csv,3
39,Attorney General Dominic Grieve QC MP,,Attorney General's Office,22-07-2013,22-07-2013,Association of Chief Police Officers,,Discussion on developments in policing,0,268386_AGO_meetings_July_-_Sept_13.csv,4
40,Solicitor General Oliver Heald QC MP,,Attorney General's Office,02-07-2013,02-07-2013,Bar Council,,Catch up on issues affecting the Bar,0,268386_AGO_meetings_July_-_Sept_13.csv,9
41,Solicitor General Oliver Heald QC MP,,Attorney General's Office,03-07-2013,03-07-2013,Bar Standards Board,,Catch up on issues affecting the Bar,0,268386_AGO_meetings_July_-_Sept_13.csv,10
42,Solicitor General Oliver Heald QC MP,,Attorney General's Office,11-07-2013,11-07-2013,GC100,,Discussion on economic crime,0,268386_AGO_meetings_July_-_Sept_13.csv,11
43,Attorney General Dominic Grieve QC MP,,Attorney General's Office,04-2013,04-2013,Odgers Berndtson,,To discuss the DPPs recruitment competition,0,246370_AGO_meetings_April_-_June_13.csv,2
44,Attorney General Dominic Grieve QC MP,,Attorney General's Office,06-2013,06-2013,KPMG,,To discuss economic crime,0,246370_AGO_meetings_April_-_June_13.csv,3
45,Attorney General Dominic Grieve QC MP,,Attorney General's Office,06-2013,06-2013,Sir Jeremy Greenstock,,To discuss BPs ongoing litigation in the US,0,246370_AGO_meetings_April_-_June_13.csv,4
46,Attorney General Dominic Grieve QC MP,,Attorney General's Office,06-2013,06-2013,Society of Editors,,To discuss contempt matters,0,246370_AGO_meetings_April_-_June_13.csv,5
47,Attorney General Dominic Grieve QC MP,,Attorney General's Office,06-2013,06-2013,BP,,To discuss ongoing litigation in the US,0,246370_AGO_meetings_April_-_June_13.csv,6
48,Solicitor General Oliver Heald QC MP,,Attorney General's Office,06-2013,06-2013,KPMG,,To discuss economic crime,0,246370_AGO_meetings_April_-_June_13.csv,9
49,Solicitor General Oliver Heald QC MP,,Attorney General's Office,06-2013,06-2013,Society of Editors,,,0,246370_AGO_meetings_April_-_June_13.csv,10
50,Attorney General Dominic Grieve QC MP,,Attorney General's Office,10-2012,10-2012,Federalist Society,,To discuss European Courts of Human Rights,0,191004_AGO_meetings_Oct_-_Dec__12.csv,2
51,Attorney General Dominic Grieve QC MP,,Attorney General's Office,10-2012,10-2012,The Constitution Unit,,To discuss the Legislation process.,0,191004_AGO_meetings_Oct_-_Dec__12.csv,3
51,Attorney General Dominic Grieve QC MP,,Attorney General's Office,10-2012,10-2012,School of Public Policy,,To discuss the Legislation process.,0,191004_AGO_meetings_Oct_-_Dec__12.csv,3
52,Attorney General Dominic Grieve QC MP,,Attorney General's Office,11-2012,11-2012,Society of Editors,,To discuss the Media in the CJS,0,191004_AGO_meetings_Oct_-_Dec__12.csv,4
53,Attorney General Dominic Grieve QC MP,,Attorney General's Office,12-2012,12-2012,Liberty,,Catch up meeting,0,191004_AGO_meetings_Oct_-_Dec__12.csv,5
54,Attorney General Dominic Grieve QC MP,,Attorney General's Office,12-2012,12-2012,Spark Inside,,Introductory meeting,0,191004_AGO_meetings_Oct_-_Dec__12.csv,6
55,Solicitor General Oliver Heald QC MP,,Attorney General's Office,12-2012,12-2012,Liberty,,Introductory meeting,0,191004_AGO_meetings_Oct_-_Dec__12.csv,9
56,Attorney General Dominic Grieve QC MP,,Attorney General's Office,01-2013,01-2013,Law Society,,Catch up meeting,0,205801_AGO_meetings_jan_-_March_13.csv,2
57,Solicitor General Oliver Heald QC MP,,Attorney General's Office,01-2013,01-2013,Law Society,,Catch up meeting,0,205801_AGO_meetings_jan_-_March_13.csv,9
58,Solicitor General Oliver Heald QC MP,,Attorney General's Office,01-2013,01-2013,GC100 members,,To discuss Deferred Prosecution Agreements,0,205801_AGO_meetings_jan_-_March_13.csv,10
59,Solicitor General Oliver Heald QC MP,,Attorney General's Office,01-2013,01-2013,Financial Times (Journalist),,Discussed various topics,0,205801_AGO_meetings_jan_-_March_13.csv,11
60,Solicitor General Oliver Heald QC MP,,Attorney General's Office,02-2013,02-2013,Centre for Social Justice,,Modern Slavery Report,0,205801_AGO_meetings_jan_-_March_13.csv,12
61,Solicitor General Oliver Heald QC MP,,Attorney General's Office,03-2013,03-2013,Under Treasurer of Middle Temple,,Becoming a Bencher,0,205801_AGO_meetings_jan_-_March_13.csv,13
62,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Access UK,,BME employment,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,2
63,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Northern PowerGrid,,Flood defences around electricity sub-station,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,3
64,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Origone,,Cyber security,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,4
65,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Local Government Association,,Flooding review,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,5
66,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Mahindra,,Electric cars,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,6
67,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Wilbur Ross,,Steel,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,7
68,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Ofwat,,Flooding,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,8
69,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Neil Eckert,,Energy market,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,9
69,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Depak Lal,,Energy market,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,9
70,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,Shell,,Gas market,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,10
71,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,BBC,,BBC policy,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,11
72,Rt Hon Oliver Letwin MP,,Cabinet Office,03-2016,03-2016,General Sir Timothy Granville Chapman,,Rehabilitation,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,12
73,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,BT,,Telecoms,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,13
74,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,KnowNow Information,,Flooding information,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,14
74,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,STFC Hartree Centre,,Flooding information,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,14
75,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,TUC,,Government policy,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,15
76,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Wilbur Ross,,Steel,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,16
77,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,CBI Board for Energy,,Carbon reduction,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,17
77,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Climate Change,,Carbon reduction,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,17
78,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Ernesto,,Marine protection,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,18
78,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Kirsty Bertarelli,,Marine protection,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,18
78,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Bertarelli Foundation,,Marine protection,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,18
79,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Energy Networks Association,,Electric vehicle charging infrastructure,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,19
80,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Sustainable Food Trust,,Sustainable food production,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,20
81,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Nissan,,Electric vehicles,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,21
82,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Oil,,Oil and gas industry,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,22
82,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Gas UK,,Oil and gas industry,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,22
83,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Phil Woolas,,Flood defence,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,23
84,Rt Hon Oliver Letwin MP,,Cabinet Office,05-2016,05-2016,Reclaim Fund,,Dormant assets,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,24
85,Rt Hon Oliver Letwin MP,,Cabinet Office,06-2016,06-2016,Sheffield City Council,,Flood defence,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,25
86,Rt Hon Oliver Letwin MP,,Cabinet Office,06-2016,06-2016,Leeds City Council,,Flood defence,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,26
87,Rt Hon Oliver Letwin MP,,Cabinet Office,06-2016,06-2016,Wilbur Ross,,Steel,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,27
88,Rt Hon Oliver Letwin MP,,Cabinet Office,06-2016,06-2016,Wetland Trust,,Sustainable Drainage Systems,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,28
89,Rt Hon Oliver Letwin MP,,Cabinet Office,06-2016,06-2016,Trades Union Congress,,Exit from the EU,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,29
90,Rt Hon Oliver Letwin MP,,Cabinet Office,06-2016,06-2016,Martin Howe QC,,Exit from the EU,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,30
