Minister,Date,Name of Organisation,Purpose of meeting
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",April,IPSA,Bilateral
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",June,IPSA,Bilateral
"Leader of the House of Lords, Lord Hill of Oareford CBE",May,Financial Times,General discussion
"Leader of the House of Lords, Lord Hill of Oareford CBE",June,BBC,General discussion
"Leader of the House of Lords, Lord Hill of Oareford CBE",June,REFORM,General discussion
"Parliamentary Secretary to the Treasury and Chief Whip, The Rt Hon Sir George Young MP",June,BBC - Nick Robinson,Lunch
"Vice-Chamberlain of HM Household, Rt Hon Greg Knight MP",June,RAC,Dinner
"Lords Commissioner of HM Treasury, Rt Hon Desmond Swayne TD MP",June,IPSOS Mori,Public Affairs questionnaire
"Assistant Whip, Nicky Morgan MP",June,Google,Briefing on Google activity on protecting children from online pornography; tax issues and cyber security
"Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard, Lord Newby OBE",April,The Lafz Project,Event on religious freedom and human rights in Pakistan
"Government Whip (Lords), Baroness Garden of Frognal",May,European Council on Foreign Relations,Discussion on European security policy/strategy
"Government Whip (Lords), Baroness Garden of Frognal",May,Cross Deck,Discussion of the work of the organisation and its help in the transition from military to civilian life 
"Government Whip (Lords), Baroness Northover",June,The Orchid Project,To discuss issues around female genital mutilation
"Government Whip (Lords), Baroness Northover",June,Malaria No More,Meeting with their advisor to the United Nations to discuss efforts to tackle malaria
"Government Whip (Lords), Lord Popat of Harrow",June,National Council of British Indians,Discussion of the role of British Indians in public life
"Government Whip (Lords), Baroness Stowell of Beeston",May,Women Like Us,Broad discussion of 'women policy'
"Government Whip (Lords), Baroness Stowell of Beeston",May,Stonewall,Discussion around Marriage (Same Sex Couples) Bill
"Government Whip (Lords), Baroness Stowell of Beeston",June,Church of England,Discussion around Marriage (Same Sex Couples) Bill
"Government Whip (Lords), Lord Wallace of Saltaire",April,Centre for Turkey Studies,Discussion of foreign policy issues relating to Turkey
"Government Whip (Lords), Lord Wallace of Saltaire",April,Chatham House Defence Group,Discussion of defence-related issues
"Government Whip (Lords), Lord Wallace of Saltaire",May,London School of Economics,Discussion around WW1 commemoration
"Government Whip (Lords), Lord Wallace of Saltaire",June,Institute of Government,Discussion on Civil Service Reform
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
