Minister,Date,Name of Organisation,Purpose of meeting
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Andrew Mitchell MP",Sept,Centre for Global Development,Catch up
"Lords Government Whip, Lord Newby",July,Social Enterprise UK,Policy discussion
"Lords Government Whip, Lord Newby",July,Cavendish Place Communications,Policy discussion
"Lords Government Whip, Lord Newby",July,Victim Support,Policy discussion
"Lords Government Whip, Lord Newby",July,City of London Corporation,Policy discussion
"Lords Government Whip, Baroness Stowell",Sept,Oxford University Mindfulness Centre,General discussion
"Lords Government Whip, Lord Wallace",July,Centre Forum,Policy discussion
"Lords Government Whip, Lord Wallace",July,Crown Centre for Middle East Studies,To discuss situation in Middle East
"Lords Government Whip, Lord Wallace",July,Chatham House,Policy discussion
"Lords Government Whip, Lord Wallace",July,Director of the Crown Centre for Middle East Studies,Policy discussion
"Lords Government Whip, Lord Wallace",Sept,Royal United Services Institute,Policy discussion
"Lords Government Whip, Lord Wallace",Sept,Chatham House,Attendance at Franco-UK defence forum
"Lords Government Whip, Baroness Verma",July,Bristol University,Speaking event
"Lords Government Whip, Baroness Verma",July,National Union of Students,Policy discussion
"Lords Government Whip, Baroness Verma",July,The Small Business Consultancy,Policy discussion
"Lords Government Whip, Baroness Verma",July,Confederation of Indian Industry,Policy discussion
"Lords Government Whip, Baroness Verma",August,Nomura International PLC/Boardwalk,Policy discussion
"Lords Government Whip, Baroness Verma",August,Black Women's Network,Policy discussion
"Lords Government Whip, Baroness Verma",August,Gibson Dunn Diversity Group,Policy discussion
"Lords Government Whip, Baroness Verma",August,Basildon Council,Policy discussion
"Lords Government Whip, Baroness Verma",Sept,Black Lawyers Directory,Policy discussion
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Note,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,
